store_name,full_address,city,province,latitude,longitude,store_type,operating_hours,osm_id,osm_type
Alfamart,,Bandung,Jawa Barat,-6.9394738,107.7496124,convenience,,3426591337,node
Alfamart,,Bandung,Jawa Barat,-6.9194181,107.6309069,convenience,Mo-Su 07:00-22:00,3428136630,node
Alfamart,,Bandung,Jawa Barat,-6.9246699,107.6286091,convenience,Mo-Su 07:00-22:00,3428137125,node
Alfamart,,Bandung,Jawa Barat,-6.9226793,107.6212111,convenience,Mo-Su 07:00-22:00,3428137126,node
Alfamart,,Bandung,Jawa Barat,-6.9224797,107.6296803,convenience,Mo-Su 07:00-22:00,3428137195,node
Alfamart,,Jakarta,DKI Jakarta,-6.155718,106.8311567,convenience,,3448038477,node
Alfamart,,Kota Tangerang,Banten,-6.0978226,106.6867823,convenience,,3485951865,node
Alfamart,,Jakarta,DKI Jakarta,-6.114554,106.6892215,convenience,,3485962913,node
Alfamart,,Kota Tangerang,Banten,-6.091982,106.694093,convenience,,3500835414,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1568468,119.4848765,convenience,,3561214824,node
Alfamart,,Makassar,Sulawesi Selatan,-5.171561,119.4457819,convenience,,3563669395,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1720368,119.4475975,convenience,,3563670304,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1357585,119.5073341,convenience,,3566027402,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1686428,119.4797816,convenience,,3574246031,node
Alfamart,,Bantul,Yogyakarta,-7.8183765,110.3483728,convenience,,3585204029,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1508188,119.4606627,convenience,,3587220240,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1593231,119.4459521,convenience,,3587220248,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1596971,119.4452923,convenience,,3587220252,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1746627,119.4552524,convenience,,3587410687,node
Alfamart,,Jakarta,DKI Jakarta,-6.1302525,106.7363387,convenience,,3608093054,node
Alfamart,,Jakarta,DKI Jakarta,-6.1310939,106.7354506,convenience,,3623344296,node
Alfamart,,Bantul,Yogyakarta,-7.8401862,110.3131922,convenience,,3630844911,node
Alfamart,,Jakarta,DKI Jakarta,-6.1339044,106.7403163,convenience,,3634834740,node
Alfamart,,Kota Bogor,Jawa Barat,-6.5140609,106.8633306,convenience,,3678414627,node
Alfamart,,Temanggung,Jawa Tengah,-7.2925764,110.0844167,convenience,,3679274914,node
Alfamart,,Banyumas,Jawa Tengah,-7.5328326,109.2016622,convenience,,3683231642,node
Alfamart,,Jember,Jawa Timur,-8.1505091,113.7150359,convenience,,3693674408,node
Alfamart,,Jember,Jawa Timur,-8.1717331,113.6948308,convenience,,3696547631,node
Alfamart,,Jember,Jawa Timur,-8.1799464,113.6853121,convenience,,3702229902,node
Alfamart,,Jakarta,DKI Jakarta,-6.2022645,106.8232874,convenience,,3742372149,node
Alfamart,,Jakarta,DKI Jakarta,-6.1853821,106.8249018,convenience,24/7,3771726161,node
Alfamart,,Sumedang,Jawa Barat,-6.8572327,107.9218721,convenience,,3775094277,node
Alfamart,,Kota Tangerang,Banten,-6.334847,106.6384695,convenience,,3775348985,node
Alfamart,,Palembang,Sumatera Selatan,-2.9225158,104.7098933,convenience,,3780459158,node
Alfamart,,Jakarta,DKI Jakarta,-6.3076304,106.8389065,convenience,,3804581357,node
Alfamart,Jalan Ir. H. Djuanda No. 297,Bandung,Jawa Barat,-6.8799394,107.6164803,convenience,Mo-Su 07:00-22:00,3806721274,node
Alfamart,,Bandung,Jawa Barat,-6.8676273,107.6208714,convenience,Mo-Su 07:00-22:00,3807746622,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1776865,119.4565489,convenience,,3816881470,node
Alfamart,,Bandung,Jawa Barat,-6.9193276,107.6153555,convenience,Mo-Su 07:00-22:00,3817206577,node
Alfamart,,Kendal,Jawa Tengah,-6.9522352,110.1037545,convenience,,3818363899,node
Alfamart,Jalan Kapten Pierre Tendean,Kota Malang,Jawa Timur,-7.9873844,112.6298752,convenience,,3826112586,node
Alfamart,,Blitar,Jawa Timur,-8.0422124,112.1017878,convenience,,3840354190,node
Alfamart,,Blitar,Jawa Timur,-8.0649456,112.0772087,convenience,,3840370543,node
Alfamart,,Buleleng,Bali,-8.1302474,115.0986769,convenience,,3924760337,node
Alfamart,,Banjarbaru,Kalimantan Selatan,-3.4534516,114.8461998,convenience,07:00-22:00,3941929770,node
Alfamart,,Bandar Lampung,Lampung,-5.3994561,105.211346,convenience,,3952995117,node
Alfamart,,Buleleng,Bali,-8.1451054,115.0501913,convenience,,4034391348,node
Alfamart,,Yogyakarta,Yogyakarta,-7.8162919,110.3683929,convenience,,4058092604,node
Alfamart,,Yogyakarta,Yogyakarta,-7.8313623,110.3898422,convenience,,4069457553,node
Alfamart,,Pamekasan,Jawa Timur,-6.8991641,113.4865285,convenience,,4075587404,node
Alfamart,,Bandung,Jawa Barat,-6.9013861,107.5962662,convenience,Mo-Su 07:00-22:00,4081103090,node
Alfamart,Jalan Monginsidi,Surakarta,Jawa Tengah,-7.558146,110.8212538,convenience,,4090285934,node
Alfamart,,Jember,Jawa Timur,-8.3464453,113.6012687,convenience,,4132247175,node
Alfamart,Jalan Ibrahim Adji,Bandung,Jawa Barat,-6.9442907,107.6417939,convenience,Mo-Su 07:00-22:00,4143026600,node
Alfamart,Jalan Raya Kawaluyaan,Bandung,Jawa Barat,-6.9367946,107.6578288,convenience,Mo-Su 07:00-22:00,4143027491,node
Alfamart,Jalan Terusan Jakarta,Bandung,Jawa Barat,-6.9140956,107.6613256,convenience,Mo-Su 07:00-22:00,4143027492,node
Alfamart,,Bandung,Jawa Barat,-6.9383132,107.6543632,convenience,Mo-Su 07:00-22:00,4143033512,node
Alfamart,,Bandung,Jawa Barat,-6.9439088,107.6816132,convenience,,4143042089,node
Alfamart,,Bandung,Jawa Barat,-6.9311681,107.654629,convenience,Mo-Su 07:00-22:00,4143046690,node
Alfamart,Jalan Terusan Jakarta,Bandung,Jawa Barat,-6.9155023,107.667429,convenience,Mo-Su 07:00-22:00,4143046691,node
Alfamart,Jalan Bypass Ngurah Rai,Kuta,Bali,-8.7220194,115.183696,convenience,Mo-Su 07:00-23:00,4169354479,node
Alfamart,Jalan Bypass Ngurah Rai,Kuta,Bali,-8.733166,115.1790767,convenience,,4169354592,node
Alfamart,,Makassar,Sulawesi Selatan,-5.132484,119.5014171,convenience,,4170678575,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1305784,119.4067574,convenience,,4172393329,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1396312,119.4171614,convenience,,4174942300,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1138548,119.4366279,convenience,,4175097620,node
Alfamart,,Sidenreng Rappang,Sulawesi Selatan,-3.8425341,119.8228529,convenience,,4177015162,node
Alfamart,Jalan Raya Gusti Ngurah Rai,"Bali, Indonesia",Bali,-8.7421087,115.1641126,convenience,24/7,4177545782,node
Alfamart,Jalan Mataram (Sebelah Apotik Ika Farma),"Kuta, Bali, Indonesia",Bali,-8.7192407,115.177965,convenience,,4177545783,node
Alfamart,,Pekanbaru,Riau,0.4889943,101.4056361,convenience,,4180069147,node
Alfamart,"Jalan Semarang, 16",Surabaya,Jawa Timur,-7.2482235,112.7312195,convenience,,4188669487,node
Alfamart,Jalan Pacar Keling,"Tambak Sari, Surabaya",Jawa Timur,-7.2581566,112.7541049,convenience,,4188677389,node
Alfamart,Jl. Kendalsari,Surabaya,Jawa Timur,-7.3128836,112.7852039,convenience,,4188708023,node
Alfamart,Jalan Panjang Jiwo,"Tenggilis Mejoyo, Surabaya",Jawa Timur,-7.3069252,112.7628525,convenience,,4188714054,node
Alfamart,Gubeng Kertajaya X,Surabaya,Jawa Timur,-7.2793397,112.7591856,convenience,,4188715355,node
Alfamart,Jalan Ciliwung,"Darmo, Wonokromo, Surabaya",Jawa Timur,-7.2929912,112.7360482,convenience,,4188715969,node
Alfamart,"Jl. Raya Manyar, No.40A","Baratajaya, Gubeng, Surabaya",Jawa Timur,-7.291546,112.7598956,convenience,,4188717183,node
Alfamart,"Jl. Nginden Semolo, No.48",Surabaya,Jawa Timur,-7.2999315,112.7669391,convenience,,4188727533,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1736773,119.4800198,convenience,,4193163901,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1735494,119.4737511,convenience,,4193229540,node
Alfamart,,Makassar,Sulawesi Selatan,-5.166644,119.4787545,convenience,,4193229552,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1822439,119.4880135,convenience,,4195323495,node
Alfamart,,Pekanbaru,Riau,0.4626728,101.3658415,convenience,,4198318189,node
Alfamart,Jalan Pramuka,Pekanbaru,Riau,0.5708222,101.4487801,convenience,,4198387798,node
Alfamart,,Badung,Bali,-8.8238681,115.1640374,convenience,24/7,4198509369,node
Alfamart,,Gianyar,Bali,-8.5682768,115.2750992,convenience,Mo-Su 07:00-22:00,4198773707,node
Alfamart,,Pekanbaru,Riau,0.4775807,101.4065224,convenience,,4200371879,node
Alfamart,Jl. HR Soebrantas,Pekanbaru,Riau,0.4643146,101.3937437,convenience,24/7,4201257043,node
Alfamart,,Pekanbaru,Riau,0.4474209,101.4253457,convenience,,4202512243,node
Alfamart,,Sidenreng Rappang,Sulawesi Selatan,-3.8439888,119.8178395,convenience,,4204950595,node
Alfamart,,Pekanbaru,Riau,0.4682059,101.3669675,convenience,,4208682289,node
Alfamart,,Pekanbaru,Riau,0.4742613,101.3673924,convenience,07:00-22:00,4211932990,node
Alfamart,Jl. Melati,Pekanbaru,Riau,0.4970223,101.3745898,convenience,,4212424363,node
Alfamart,,Pekanbaru,Riau,0.4625557,101.3684507,convenience,,4213569850,node
Alfamart,,Pekanbaru,Riau,0.4493128,101.3855735,convenience,,4214688704,node
Alfamart,,Pekanbaru,Riau,0.4692189,101.3745232,convenience,,4215569040,node
Alfamart,,Pekanbaru,Riau,0.5689696,101.4261771,convenience,,4215726083,node
